,Endpoint,Provider,State,City,Country,IP,geo_response,ip,type,continent_code,continent_name,country_code,country_name,region_code,region_name,city,zip,latitude,longitude,location.geoname_id,location.capital,location.languages,location.country_flag,location.country_flag_emoji,location.country_flag_emoji_unicode,location.calling_code,location.is_eu,success,error.code,error.type,error.info
0,https://ec2.us-east-1.amazonaws.com/ping,AWS,N. Virginia,Ashburn,United States,52.46.142.79,"{'ip': '52.46.142.79', 'type': 'ipv4', 'continent_code': 'NA', 'continent_name': 'North America', 'country_code': 'US', 'country_name': 'United States', 'region_code': 'VA', 'region_name': 'Virginia', 'city': 'Ashburn', 'zip': '20147', 'latitude': 39.043701171875, 'longitude': -77.47419738769531, 'location': {'geoname_id': 4744870, 'capital': 'Washington D.C.', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/us.svg', 'country_flag_emoji': '🇺🇸', 'country_flag_emoji_unicode': 'U+1F1FA U+1F1F8', 'calling_code': '1', 'is_eu': False}}",52.46.142.79,ipv4,NA,North America,US,United States,VA,Virginia,Ashburn,20147,39.043701171875,-77.47419738769531,4744870.0,Washington D.C.,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/us.svg,🇺🇸,U+1F1FA U+1F1F8,1,False,,,,
1,https://ec2.us-east-2.amazonaws.com/ping,AWS,Ohio,Columbus,United States,99.78.176.246,"{'ip': '99.78.176.246', 'type': 'ipv4', 'continent_code': 'NA', 'continent_name': 'North America', 'country_code': 'US', 'country_name': 'United States', 'region_code': 'OH', 'region_name': 'Ohio', 'city': 'Columbus', 'zip': '43201', 'latitude': 39.99557876586914, 'longitude': -82.99945831298828, 'location': {'geoname_id': 4509177, 'capital': 'Washington D.C.', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/us.svg', 'country_flag_emoji': '🇺🇸', 'country_flag_emoji_unicode': 'U+1F1FA U+1F1F8', 'calling_code': '1', 'is_eu': False}}",99.78.176.246,ipv4,NA,North America,US,United States,OH,Ohio,Columbus,43201,39.99557876586914,-82.99945831298828,4509177.0,Washington D.C.,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/us.svg,🇺🇸,U+1F1FA U+1F1F8,1,False,,,,
2,https://ec2.us-west-1.amazonaws.com/ping,AWS,N. California,San Francisco,United States,176.32.118.30,"{'ip': '176.32.118.30', 'type': 'ipv4', 'continent_code': 'NA', 'continent_name': 'North America', 'country_code': 'US', 'country_name': 'United States', 'region_code': 'CA', 'region_name': 'California', 'city': 'San Jose', 'zip': '95122', 'latitude': 37.330528259277344, 'longitude': -121.83822631835938, 'location': {'geoname_id': 5392171, 'capital': 'Washington D.C.', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/us.svg', 'country_flag_emoji': '🇺🇸', 'country_flag_emoji_unicode': 'U+1F1FA U+1F1F8', 'calling_code': '1', 'is_eu': False}}",176.32.118.30,ipv4,NA,North America,US,United States,CA,California,San Jose,95122,37.330528259277344,-121.83822631835938,5392171.0,Washington D.C.,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/us.svg,🇺🇸,U+1F1FA U+1F1F8,1,False,,,,
4,https://ec2.us-west-2.amazonaws.com/ping,AWS,Oregon,Portland,United States,52.94.214.88,"{'ip': '52.94.214.88', 'type': 'ipv4', 'continent_code': 'NA', 'continent_name': 'North America', 'country_code': 'US', 'country_name': 'United States', 'region_code': 'OR', 'region_name': 'Oregon', 'city': 'Boardman', 'zip': '97818', 'latitude': 45.83599853515625, 'longitude': -119.6989974975586, 'location': {'geoname_id': None, 'capital': 'Washington D.C.', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/us.svg', 'country_flag_emoji': '🇺🇸', 'country_flag_emoji_unicode': 'U+1F1FA U+1F1F8', 'calling_code': '1', 'is_eu': False}}",52.94.214.88,ipv4,NA,North America,US,United States,OR,Oregon,Boardman,97818,45.83599853515625,-119.6989974975586,,Washington D.C.,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/us.svg,🇺🇸,U+1F1FA U+1F1F8,1,False,,,,
5,https://ec2.ap-east-1.amazonaws.com/ping,AWS,Hong Kong,Hong Kong,Hong Kong,13.248.32.123,"{'ip': '13.248.32.123', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'HK', 'country_name': 'Hong Kong SAR China', 'region_code': 'HSO', 'region_name': 'Southern', 'city': 'Aberdeen', 'zip': None, 'latitude': 22.248310089111328, 'longitude': 114.15239715576172, 'location': {'geoname_id': 1819757, 'capital': 'City of Victoria', 'languages': [{'code': 'zh', 'name': 'Chinese', 'native': '中文'}, {'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/hk.svg', 'country_flag_emoji': '🇭🇰', 'country_flag_emoji_unicode': 'U+1F1ED U+1F1F0', 'calling_code': '852', 'is_eu': False}}",13.248.32.123,ipv4,AS,Asia,HK,Hong Kong SAR China,HSO,Southern,Aberdeen,,22.248310089111328,114.15239715576172,1819757.0,City of Victoria,"[{'code': 'zh', 'name': 'Chinese', 'native': '中文'}, {'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/hk.svg,🇭🇰,U+1F1ED U+1F1F0,852,False,,,,
6,https://ec2.ap-south-1.amazonaws.com/ping,AWS,Mumbai,Mumbai,India,52.95.88.14,"{'ip': '52.95.88.14', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'IN', 'country_name': 'India', 'region_code': 'MH', 'region_name': 'Maharashtra', 'city': 'Powai', 'zip': '400070', 'latitude': 19.076000213623047, 'longitude': 72.87770080566406, 'location': {'geoname_id': 6324621, 'capital': 'New Delhi', 'languages': [{'code': 'hi', 'name': 'Hindi', 'native': 'हिन्दी'}, {'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/in.svg', 'country_flag_emoji': '🇮🇳', 'country_flag_emoji_unicode': 'U+1F1EE U+1F1F3', 'calling_code': '91', 'is_eu': False}}",52.95.88.14,ipv4,AS,Asia,IN,India,MH,Maharashtra,Powai,400070,19.076000213623047,72.87770080566406,6324621.0,New Delhi,"[{'code': 'hi', 'name': 'Hindi', 'native': 'हिन्दी'}, {'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/in.svg,🇮🇳,U+1F1EE U+1F1F3,91,False,,,,
7,https://ec2.ap-northeast-3.amazonaws.com/ping,AWS,Osaka,Osaka,Japan,13.248.4.70,"{'ip': '13.248.4.70', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'JP', 'country_name': 'Japan', 'region_code': '27', 'region_name': 'Ōsaka', 'city': 'Osaka', 'zip': '542-0082', 'latitude': 34.69369888305664, 'longitude': 135.502197265625, 'location': {'geoname_id': 1853909, 'capital': 'Tokyo', 'languages': [{'code': 'ja', 'name': 'Japanese', 'native': '日本語'}], 'country_flag': 'https://assets.ipstack.com/flags/jp.svg', 'country_flag_emoji': '🇯🇵', 'country_flag_emoji_unicode': 'U+1F1EF U+1F1F5', 'calling_code': '81', 'is_eu': False}}",13.248.4.70,ipv4,AS,Asia,JP,Japan,27,Ōsaka,Osaka,542-0082,34.69369888305664,135.502197265625,1853909.0,Tokyo,"[{'code': 'ja', 'name': 'Japanese', 'native': '日本語'}]",https://assets.ipstack.com/flags/jp.svg,🇯🇵,U+1F1EF U+1F1F5,81,False,,,,
9,https://ec2.ap-northeast-2.amazonaws.com/ping,AWS,Seoul,Seoul,South Korea,52.95.193.80,"{'ip': '52.95.193.80', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'KR', 'country_name': 'South Korea', 'region_code': '28', 'region_name': 'Incheon', 'city': 'Incheon', 'zip': '400-011', 'latitude': 37.47480010986328, 'longitude': 126.63075256347656, 'location': {'geoname_id': 1843564, 'capital': 'Seoul', 'languages': [{'code': 'ko', 'name': 'Korean', 'native': '한국어'}], 'country_flag': 'https://assets.ipstack.com/flags/kr.svg', 'country_flag_emoji': '🇰🇷', 'country_flag_emoji_unicode': 'U+1F1F0 U+1F1F7', 'calling_code': '82', 'is_eu': False}}",52.95.193.80,ipv4,AS,Asia,KR,South Korea,28,Incheon,Incheon,400-011,37.47480010986328,126.63075256347656,1843564.0,Seoul,"[{'code': 'ko', 'name': 'Korean', 'native': '한국어'}]",https://assets.ipstack.com/flags/kr.svg,🇰🇷,U+1F1F0 U+1F1F7,82,False,,,,
10,https://ec2.ap-southeast-1.amazonaws.com/ping,AWS,Singapore,Singapore,Singapore,15.221.8.221,"{'ip': '15.221.8.221', 'type': 'ipv4', 'continent_code': 'AS', 'continent_name': 'Asia', 'country_code': 'SG', 'country_name': 'Singapore', 'region_code': '01', 'region_name': 'Central Singapore', 'city': 'Singapore', 'zip': '247964', 'latitude': 1.287950038909912, 'longitude': 103.8517837524414, 'location': {'geoname_id': 1880252, 'capital': 'Singapore', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'ms', 'name': 'Malay', 'native': 'Bahasa Melayu'}, {'code': 'ta', 'name': 'Tamil', 'native': 'தமிழ்'}, {'code': 'zh', 'name': 'Chinese', 'native': '中文'}], 'country_flag': 'https://assets.ipstack.com/flags/sg.svg', 'country_flag_emoji': '🇸🇬', 'country_flag_emoji_unicode': 'U+1F1F8 U+1F1EC', 'calling_code': '65', 'is_eu': False}}",15.221.8.221,ipv4,AS,Asia,SG,Singapore,01,Central Singapore,Singapore,247964,1.287950038909912,103.8517837524414,1880252.0,Singapore,"[{'code': 'en', 'name': 'English', 'native': 'English'}, {'code': 'ms', 'name': 'Malay', 'native': 'Bahasa Melayu'}, {'code': 'ta', 'name': 'Tamil', 'native': 'தமிழ்'}, {'code': 'zh', 'name': 'Chinese', 'native': '中文'}]",https://assets.ipstack.com/flags/sg.svg,🇸🇬,U+1F1F8 U+1F1EC,65,False,,,,
11,https://ec2.ap-southeast-2.amazonaws.com/ping,AWS,Sydney,Sydney,Australia,99.83.82.12,"{'ip': '99.83.82.12', 'type': 'ipv4', 'continent_code': 'OC', 'continent_name': 'Oceania', 'country_code': 'AU', 'country_name': 'Australia', 'region_code': 'NSW', 'region_name': 'New South Wales', 'city': 'Sydney', 'zip': '2000', 'latitude': -33.868900299072266, 'longitude': 151.2071075439453, 'location': {'geoname_id': 2147714, 'capital': 'Canberra', 'languages': [{'code': 'en', 'name': 'English', 'native': 'English'}], 'country_flag': 'https://assets.ipstack.com/flags/au.svg', 'country_flag_emoji': '🇦🇺', 'country_flag_emoji_unicode': 'U+1F1E6 U+1F1FA', 'calling_code': '61', 'is_eu': False}}",99.83.82.12,ipv4,OC,Oceania,AU,Australia,NSW,New South Wales,Sydney,2000,-33.868900299072266,151.2071075439453,2147714.0,Canberra,"[{'code': 'en', 'name': 'English', 'native': 'English'}]",https://assets.ipstack.com/flags/au.svg,🇦🇺,U+1F1E6 U+1F1FA,61,False,,,,
