"No.","Time","Source","Destination","Protocol","Length","Info"
"267","5.885565","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2010, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"269","5.888982","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2011, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"271","5.892419","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2012, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"272","5.903922","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2013, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"274","5.907352","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2014, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"275","5.910456","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2015, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"539","16.060480","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2115, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"540","16.063322","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2116, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"541","16.066419","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2117, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"745","21.837024","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2175, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"747","21.840433","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2176, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"749","21.845610","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2177, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"752","21.852625","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2178, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"754","21.856130","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2179, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"756","21.859522","TpLinkTechno_1a:8f:ea","a2:34:0b:46:0e:c8","802.11","397","Probe Response, SN=2180, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1031","25.731050","TpLinkTechno_1a:8f:ea","SagemcomBroa_d7:48:32","802.11","397","Probe Response, SN=2219, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1032","25.734538","TpLinkTechno_1a:8f:ea","SagemcomBroa_d7:48:32","802.11","397","Probe Response, SN=2220, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1034","25.737864","TpLinkTechno_1a:8f:ea","SagemcomBroa_d7:48:32","802.11","397","Probe Response, SN=2221, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1063","26.376577","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2228, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1064","26.379994","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2229, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1065","26.383055","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2230, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1245","30.140802","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2268, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1247","30.144386","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2269, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1248","30.147398","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2270, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1250","30.152794","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2271, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1252","30.156145","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2272, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1254","30.159621","TpLinkTechno_1a:8f:ea","06:b9:45:0b:8f:c8","802.11","397","Probe Response, SN=2273, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1540","36.581160","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2337, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1542","36.584650","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2338, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1543","36.587752","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2339, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1548","36.668727","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2341, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1549","36.671810","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2342, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1550","36.674960","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2343, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1551","36.678113","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2344, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1552","36.681208","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2345, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1553","36.684377","TpLinkTechno_1a:8f:ea","8e:6b:87:17:3c:76","802.11","397","Probe Response, SN=2346, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1879","46.641292","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2444, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1881","46.644747","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2445, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"1883","46.648197","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2446, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2463","57.427684","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2552, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2465","57.431046","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2553, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2467","57.434491","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2554, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2472","57.461149","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2556, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
